dtstart,uid,description,summary
2025-02-24,event-assignment-1073920,"Section 3.7: 5, 11, 17, 25ab, 32",Paper HW #19 (Sect 3.7) [MATH 112 001-007]
2025-02-24,event-assignment-1094454,"\n- Lecture 12 - Modular Design, Functional Programming, & Higher Order Functions\n \n\nIn this lecture we finish the discussion of modularity with an example design. We then move on to introduce a new programming paradigm, Functional Programming. We discuss what functional programming is, some of its benefits and drawbacks, and start looking at some of the principles of functional programming such as side effects, pure functions,higher-order functions, and function composition.\n\nOnline Sections\nWatch all of the videos in the tabs. In order to grasp the content presented in these videos, we encourage you to take notes during videos and to pause, review and re-watch videos as needed.\n\nOn-Campus Sections\nWatch any videos indicated by your instructor during class. You may also use these videos as a review of the material you learned in class.\n\n Lecture Videos\n \n\nIcon Project Example\n \n\n Transcript Forthcoming\n\nSide Effects\n \n\n Transcript Forthcoming\n\nPure Functions\n \n\n Transcript Forthcoming\n\nFunctional Programming\n \n\n Transcript Forthcoming\n\nDeclarative vs. Imparative Languages\n \n\n Transcript Forthcoming\n\nHigher Order Functions\n \n\n Transcript Forthcoming\n\n \n\nFunctions as Return Values\n \n\n Transcript Forthcoming\n\n \n\nFunction Composition\n \n\n Transcript Forthcoming\n\n \n\n \n\n \n\n","Videos - Lecture 12 - Modular Design, Functional Programming, & Higher Order Functions [C S 111 - Winter25]"
2025-02-25,event-assignment-1049346,"\n- Lab 11\n\n \n\n Instructions\n \n\n[Instructions for this lab] (https://cs111.byu.edu/Labs/lab11), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\n \n\n",Lab 11 [C S 111 - Winter25]
2025-02-25,event-assignment-1073961,Do WA 20 - 3.9A Related Rates on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #20: Section 3.9A [MATH 112 001-007]
2025-02-26,event-assignment-1049331,"\n- Homework 3\n\n \n\n Instructions\n \n\n[Instructions for this homework] (https://cs111.byu.edu/Homework/homework03), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\nAfter you've finished, please give your [feedback on this survey] (https://byu.az1.qualtrics.com/jfe/form/SV_6P9aonBkwyFbygm)\n\n \n\n \n\n",Homework 3 [C S 111 - Winter25]
2025-02-26,event-assignment-1073921,"Section 3.9: 6, 11, 14",Paper HW #20 (Sect 3.9A) [MATH 112 001-007]
2025-02-26,event-assignment-1094455,"\n- Lecture 13 - Lambda Functions & Mutability\n \n\nIn this lecture we continue to look at higher-order functions and some applications. We look at:\n\n* lambda expressions - an alternate function definition method for simple functions\n\n* conditional expressions - a way to use if statements inside expressions\n\n* decorators - a higher order function application\n\nWe then look a mutability and some of the dangers of mutation.\n\nOnline Sections\nWatch all of the videos in the tabs. In order to grasp the content presented in these videos, we encourage you to take notes during videos and to pause, review and re-watch videos as needed.\n\nOn-Campus Sections\nWatch any videos indicated by your instructor during class. You may also use these videos as a review of the material you learned in class.\n\n Lecture Videos\n \n\nLambda Expressions\n \n\n Transcript Forthcoming\n\nConditional Expressions\n \n\n Transcript Forthcoming\n\nDecorators\n \n\n Transcript Forthcoming\n\nMutability\n \n\n Transcript Forthcoming\n\nLIst Mutation\n \n\n Transcript Forthcoming\n\nBeware Mutation\n \n\n Transcript Forthcoming\n\n \n\n \n\n \n\n",Videos - Lecture 13 - Lambda Functions & Mutability [C S 111 - Winter25]
2025-02-27,event-assignment-1049347,"\n- Lab 12\n\n \n\n Instructions\n \n\n[Instructions for this lab] (https://cs111.byu.edu/Labs/lab12), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\n \n\n",Lab 12 [C S 111 - Winter25]
2025-02-27,event-assignment-1073962,Do WA 21 - 3.9B Related Rates on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #21: Section 3.9B [MATH 112 001-007]
2025-02-28,event-assignment-1073922,"Section 3.9B: 15, 20, 27, 39, 43",Paper HW #21 (Sect 3.9B) [MATH 112 001-007]
2025-03-03,event-assignment-1073904,,Midterm #2 [MATH 112 001-007]
2025-03-03,event-assignment-1073924,Section 3.3: #30\n\nSection 3.4: #39\n\nSection 3.5: #12\n\nSection 3.6: #63\n\nSection 3.9: #16\n\nSection 4.1: #57\n\n \n\n,Paper HW #22 (Review for Exam 2) [MATH 112 001-007]
2025-03-03,event-assignment-1096611,"\n- Lecture 14 - Mutable Functions\n \n\nThis is really a catch up moment and there isn't a lot of new content just finishing up the mutabilty topic with a look at how we can build mutable functions.\n\nOnline Sections\nWatch all of the videos in the tabs. In order to grasp the content presented in these videos, we encourage you to take notes during videos and to pause, review and re-watch videos as needed.\n\nOn-Campus Sections\nWatch any videos indicated by your instructor during class. You may also use these videos as a review of the material you learned in class.\n\n Lecture Videos\n \n\nMutable Functions\n \n\n Transcript Forthcoming\n\n \n\n \n\n",Videos - Lecture 14 - Mutable Functions [C S 111 - Winter25]
2025-03-04,event-assignment-1049348,"\n- Lab 13\n\n \n\n Instructions\n \n\n[Instructions for this lab] (https://cs111.byu.edu/Labs/lab13), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\n \n\n",Lab 13 [C S 111 - Winter25]
2025-03-04,event-assignment-1073963,Do WA 23 - 4.1 Maximum and Minimum Values on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #23: Section 4.1 [MATH 112 001-007]
2025-03-05,event-assignment-1049332,"\n- Homework 4\n\n \n\n Instructions\n \n\n[Instructions for this homework] (https://cs111.byu.edu/Homework/homework04/), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\nAfter you've finished, please give your [feedback on this survey] (https://byu.az1.qualtrics.com/jfe/form/SV_6P9aonBkwyFbygm)\n\n \n\n \n\n",Homework 4 [C S 111 - Winter25]
2025-03-05,event-assignment-1073923,"Section 4.1: 7, 10, 11, 39, 61, 64, 81a",Paper HW #23 (Sect 4.1) [MATH 112 001-007]
2025-03-05,event-assignment-1096612,"\n- Lecture 15 - Recursion\n \n\nIn this lecture we introduce the topic of recursion, where a function calls itself to solve a smaller part of the problem it is working on. We discuss how recursion works, how to write recursive functions and verify that they will give the correct answer, and compare recursion and iteration and how they are related.\n\nOnline Sections\nWatch all of the videos in the tabs. In order to grasp the content presented in these videos, we encourage you to take notes during videos and to pause, review and re-watch videos as needed.\n\nOn-Campus Sections\nWatch any videos indicated by your instructor during class. You may also use these videos as a review of the material you learned in class.\n\n Lecture Videos\n \n\nRecursion\n \n\n Transcript Forthcoming\n\nVisualizing Recursion\n \n\n Transcript Forthcoming\n\nVerifying Recrusive Functions\n \n\n Transcript Forthcoming\n\nMutal Recursion\n \n\n Transcript Forthcoming\n\nRecursion and Iteration\n \n\n Transcript Forthcoming\n\nRecursion Exercises\n \n\n Transcript Forthcoming\n\n \n\n \n\n \n\n",Videos - Lecture 15 - Recursion [C S 111 - Winter25]
2025-03-06,event-assignment-1049349,"\n- Lab 14\n\n \n\n Instructions\n \n\n[Instructions for this lab] (https://cs111.byu.edu/Labs/lab14), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\n \n\n",Lab 14 [C S 111 - Winter25]
2025-03-06,event-assignment-1073965,Do WA 24 - 4.2 Mean Value Theorem on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #24: Section 4.2 [MATH 112 001-007]
2025-03-07,event-assignment-1073925,"Section 4.2: 3, 19, 22, 23, 25, 35, 41",Paper HW #24 (Sect 4.2) [MATH 112 001-007]
2025-03-08,event-assignment-1073966,Do WA 25 - 4.3 Derivatives and the Shape of a Graph on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #25: Section 4.3 [MATH 112 001-007]
2025-03-10,event-assignment-1073926,"Section 4.3: 7, 17, 23, 29, 37, 40, 47",Paper HW #25 (Sect 4.3) [MATH 112 001-007]
